publication_external_id,rag_score,rag_total,rag_percentage,general_score,general_total,general_percentage,combined_percentage
1EyrHhLul5KU,14,16,0.875,27,31,0.871,1.746
tFWaqm3NnqpZ,15,16,0.9375,24,31,0.7742,1.7117
Hhc2gcrb6Htp,14,16,0.875,25,31,0.8065,1.6815
ANhHUbARKoZL,12,16,0.75,28,31,0.9032,1.6532
bY0Hasn6cBKO,13,16,0.8125,26,31,0.8387,1.6512
f7jkvoxhGkWT,12,16,0.75,27,31,0.871,1.621
H2rbE1JDof4y,14,16,0.875,23,31,0.7419,1.6169
4fBZ6PYkO2mZ,12,16,0.75,26,31,0.8387,1.5887
YPaSuFfjSL2v,12,16,0.75,26,31,0.8387,1.5887
ICfIfIRJ7hYj,13,16,0.8125,24,31,0.7742,1.5867
8t2SMEsGZctP,15,16,0.9375,20,31,0.6452,1.5827
sgi0REs2wi2J,13,16,0.8125,23,31,0.7419,1.5544
PMe6opu9HA3u,13,16,0.8125,21,31,0.6774,1.4899
WQqk306r08hW,14,16,0.875,19,31,0.6129,1.4879
EIBBy4jo6Kk1,14,16,0.875,19,31,0.6129,1.4879
9VFqBbmNw65U,12,16,0.75,22,31,0.7097,1.4597
ywfeDHNiFx7n,11,16,0.6875,23,31,0.7419,1.4294
8T4zjTgKfHzm,11,16,0.6875,23,31,0.7419,1.4294
h5ezVP2PhTun,12,16,0.75,21,31,0.6774,1.4274
Aew5eWU5GhFy,12,16,0.75,20,31,0.6452,1.3952
B6ZkgH7d9ekX,11,16,0.6875,21,31,0.6774,1.3649
l31Tqp5nU423,12,16,0.75,19,31,0.6129,1.3629
967PpYl1ONyD,13,16,0.8125,17,31,0.5484,1.3609
1YrOrfkDQ3bN,11,16,0.6875,20,31,0.6452,1.3327
00LAGp5OuigT,9,16,0.5625,23,31,0.7419,1.3044
ynz0tnpH0Vsa,11,16,0.6875,19,31,0.6129,1.3004
A4c7i0iQhjCl,12,16,0.75,17,31,0.5484,1.2984
TwnmLnyzHBmm,11,16,0.6875,18,31,0.5806,1.2681
zWw6CocJH4jp,11,16,0.6875,18,31,0.5806,1.2681
BpryDLtWHWkx,11,16,0.6875,18,31,0.5806,1.2681
4wqYEiwbmMF9,14,16,0.875,12,31,0.3871,1.2621
LstceSnb3IDH,10,16,0.625,19,31,0.6129,1.2379
a5JYVWRZcIL3,10,16,0.625,19,31,0.6129,1.2379
iSUvjnognEEL,9,16,0.5625,20,31,0.6452,1.2077
FUN8ODzJbGxU,11,16,0.6875,16,31,0.5161,1.2036
Ea5WUg3GE1o4,10,16,0.625,17,31,0.5484,1.1734
m7GVzxm05ZEj,13,16,0.8125,11,31,0.3548,1.1673
fEZHv6d4lqmx,8,16,0.5,20,31,0.6452,1.1452
7nDcd8TkL4bj,11,16,0.6875,14,31,0.4516,1.1391
3ckLnaDhLwiY,13,16,0.8125,10,31,0.3226,1.1351
HnFeAayhC99X,6,16,0.375,23,31,0.7419,1.1169
52lhbZXXHk9f,8,16,0.5,19,31,0.6129,1.1129
4fiaz4cCKoI0,10,16,0.625,15,31,0.4839,1.1089
yk9REEuNwN8E,6,16,0.375,22,31,0.7097,1.0847
xCKVBAwZpJOL,8,16,0.5,18,31,0.5806,1.0806
DUiPV8B0Swzl,9,16,0.5625,16,31,0.5161,1.0786
1tzOpsOtVNkC,10,16,0.625,14,31,0.4516,1.0766
nS6fajvZ0wuB,11,16,0.6875,12,31,0.3871,1.0746
KwKSDEOcAXrX,12,16,0.75,10,31,0.3226,1.0726
90Gdnmy5EuOR,10,16,0.625,11,31,0.3548,0.9798
kRxLwW6vxsDn,9,16,0.5625,12,31,0.3871,0.9496
Srxfh03hVX9C,11,16,0.6875,8,31,0.2581,0.9456
HlGzst8AOo6s,6,16,0.375,16,31,0.5161,0.8911
RlZIfkqK8e4u,9,16,0.5625,7,31,0.2258,0.7883
q20UHntkFq3r,6,16,0.375,12,31,0.3871,0.7621
wpI38s0JViqj,8,16,0.5,5,31,0.1613,0.6613
XKgpjOObSLfF,8,16,0.5,4,31,0.129,0.629
OiF4ZW9X2jeo,4,16,0.25,10,31,0.3226,0.5726
555qYxNAI5Lv,5,16,0.3125,6,31,0.1935,0.506
m4Ger4j7PxpG,6,16,0.375,3,31,0.0968,0.4718
hDpOInariYSZ,4,16,0.25,5,31,0.1613,0.4113
hJ4aTArbK8XV,6,16,0.375,0,31,0.0,0.375
4hY5oGBmvCz6,4,16,0.25,3,31,0.0968,0.3468
XTZxtVu1fotd,1,16,0.0625,7,31,0.2258,0.2883
Az72dkvWhXdL,1,16,0.0625,4,31,0.129,0.1915
lLRMZ6kjsB8O,2,16,0.125,0,31,0.0,0.125
HWb7EKooLzJS,0,16,0.0,-1,31,-0.0323,-0.0323
oARTT6bvyALY,0,16,0.0,-4,31,-0.129,-0.129
O0NZPilG88oo,1,16,0.0625,-6,31,-0.1935,-0.131
52Zo0G7WuWGZ,1,16,0.0625,-8,31,-0.2581,-0.1956
SL2d7v43ml6X,0,16,0.0,-8,31,-0.2581,-0.2581
