project,total_criteria_rag,met_criteria_rag,percentage_rag,timestamp_rag,essential_met_rag,essential_total_rag,essential_percentage_rag,professional_met_rag,professional_total_rag,professional_percentage_rag,elite_met_rag,elite_total_rag,elite_percentage_rag,total_criteria_general,met_criteria_general,percentage_general,timestamp_general,essential_met_general,essential_total_general,essential_percentage_general,professional_met_general,professional_total_general,professional_percentage_general,elite_met_general,elite_total_general,elite_percentage_general,merge1,publication_external_id,publication_title,rag_score,rag_total,rag_percentage,general_score,general_total,general_percentage,combined_percentage,merge2,_merge
https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,15.0,12.0,80.0,2025-06-17 21:01:37,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:12:57,24.0,25.0,96.0,31.0,46.0,67.4,2.0,10.0,20.0,both,3ckLnaDhLwiY,Ready Tensor Publication Explorer: A RAG-based research assistant,13,16,0.8125,10,31,0.3226,1.1351,both,both
https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,15.0,12.0,80.0,2025-06-17 20:58:37,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,59.0,72.8,2025-06-17 20:06:10,25.0,25.0,100.0,31.0,46.0,67.4,3.0,10.0,30.0,both,ywfeDHNiFx7n,Chatbot for Efficient Banking Customer Experience,11,16,0.6875,23,31,0.7419,1.4294,both,both
https://github.com/AhmadTigress/Rag_System,15.0,12.0,80.0,2025-06-17 21:03:35,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,44.0,54.3,2025-06-17 20:17:02,18.0,25.0,72.0,26.0,46.0,56.5,0.0,10.0,0.0,both,1YrOrfkDQ3bN,BUILDING A RAG SYSTEM WITH OPEN-SOURCE,11,16,0.6875,20,31,0.6452,1.3327,both,both
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15.0,10.0,66.7,2025-06-17 21:07:09,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:29:13,20.0,25.0,80.0,35.0,46.0,76.1,2.0,10.0,20.0,both,00LAGp5OuigT,RAG-powered-assistant,9,16,0.5625,23,31,0.7419,1.3044,both,both
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15.0,10.0,66.7,2025-06-17 21:07:09,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:29:13,20.0,25.0,80.0,35.0,46.0,76.1,2.0,10.0,20.0,both,O0NZPilG88oo,RAG-powered-assistant,1,16,0.0625,-6,31,-0.1935,-0.131,both,both
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2,15.0,11.0,73.3,2025-06-17 21:04:50,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,85.0,64.0,75.3,2025-06-17 20:20:50,25.0,27.0,92.6,35.0,48.0,72.9,4.0,10.0,40.0,both,XKgpjOObSLfF,Module 1 RAG Project ,8,16,0.5,4,31,0.129,0.629,both,both
https://github.com/AmmarAhmedl200961/simple-rag,15.0,12.0,80.0,2025-06-17 20:52:14,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 19:56:12,22.0,25.0,88.0,28.0,46.0,60.9,0.0,10.0,0.0,both,RlZIfkqK8e4u,RAG Assistant for Custom Knowledge Base,9,16,0.5625,7,31,0.2258,0.7883,both,both
https://github.com/AndreyGermanov/langchain_qwen_chat_cli,15.0,10.0,66.7,2025-06-17 20:59:45,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,61.0,75.3,2025-06-17 20:07:59,24.0,25.0,96.0,34.0,46.0,73.9,3.0,10.0,30.0,both,wpI38s0JViqj,"RAG Chat Assistant, using QWEN Chat local model via LangChain",8,16,0.5,5,31,0.1613,0.6613,both,both
https://github.com/Blaqadonis/heritageai,15.0,11.0,73.3,2025-06-17 20:52:48,8.0,10.0,80.0,2.0,4.0,50.0,1.0,1.0,100.0,81.0,60.0,74.1,2025-06-17 19:56:35,23.0,25.0,92.0,34.0,46.0,73.9,3.0,10.0,30.0,both,4fBZ6PYkO2mZ,"Heritage - an AI query system for The Nigerian Peoples, their Pre-historic Arts, & Cultures.",12,16,0.75,26,31,0.8387,1.5887,both,both
https://github.com/Chizzy0428/RAG-Assistant-Project,15.0,11.0,73.3,2025-06-17 21:00:29,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 20:11:26,22.0,25.0,88.0,28.0,46.0,60.9,0.0,10.0,0.0,both,xCKVBAwZpJOL,RAG ASSISTANT PROJECT,8,16,0.5,18,31,0.5806,1.0806,both,both
https://github.com/Chukwuebuka-2003/rag_agentarticle,15.0,6.0,40.0,2025-06-17 21:02:20,5.0,10.0,50.0,1.0,4.0,25.0,0.0,1.0,0.0,81.0,42.0,51.9,2025-06-17 20:14:59,18.0,25.0,72.0,24.0,46.0,52.2,0.0,10.0,0.0,both,q20UHntkFq3r, How AI Agents Transform PDFs into Polished Articles,6,16,0.375,12,31,0.3871,0.7621,both,both
https://github.com/Dprof-in-tech/igbo_culture_RAG.py,15.0,10.0,66.7,2025-06-17 21:01:54,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,58.0,71.6,2025-06-17 20:14:17,23.0,25.0,92.0,33.0,46.0,71.7,2.0,10.0,20.0,both,9VFqBbmNw65U,RAG Assistant for IGBO Cultural Information and Proverbs,12,16,0.75,22,31,0.7097,1.4597,both,both
https://github.com/Eng-Elias/notebook_rag,15.0,12.0,80.0,2025-06-17 21:07:24,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,61.0,75.3,2025-06-17 20:29:33,25.0,25.0,100.0,33.0,46.0,71.7,3.0,10.0,30.0,both,HnFeAayhC99X,AAIDC2025 Module1 Project - Notebook-RAG,6,16,0.375,23,31,0.7419,1.1169,both,both
https://github.com/Fatimat01/consumer-complaint-chatbot,15.0,12.0,80.0,2025-06-17 20:54:12,8.0,10.0,80.0,4.0,4.0,100.0,0.0,1.0,0.0,85.0,59.0,69.4,2025-06-17 19:58:29,22.0,27.0,81.5,35.0,48.0,72.9,2.0,10.0,20.0,both,8T4zjTgKfHzm,AI-Powered Assistant for Exploring Financial Consumer Complaints,11,16,0.6875,23,31,0.7419,1.4294,both,both
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,15.0,12.0,80.0,2025-06-17 20:59:34,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,56.0,69.1,2025-06-17 20:07:41,21.0,25.0,84.0,34.0,46.0,73.9,1.0,10.0,10.0,both,DUiPV8B0Swzl,Ragssistant: RAG-Powered-AI-Assistant,9,16,0.5625,16,31,0.5161,1.0786,both,both
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,15.0,12.0,80.0,2025-06-17 20:59:34,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,56.0,69.1,2025-06-17 20:07:41,21.0,25.0,84.0,34.0,46.0,73.9,1.0,10.0,10.0,both,oARTT6bvyALY,Ragssistant - A RAG assistant for you,0,16,0.0,-4,31,-0.129,-0.129,both,both
https://github.com/JbellMD/RT-RAG,15.0,11.0,73.3,2025-06-17 20:53:03,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,78.0,96.3,2025-06-17 19:56:57,25.0,25.0,100.0,45.0,46.0,97.8,8.0,10.0,80.0,both,fEZHv6d4lqmx,RT-RAG Assistant: A Modular Retrieval-Augmented Generation Framework for Document Querying,8,16,0.5,20,31,0.6452,1.1452,both,both
https://github.com/Joshua-Abok/rag_apk,15.0,10.0,66.7,2025-06-17 21:04:30,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:20:29,22.0,25.0,88.0,32.0,46.0,69.6,3.0,10.0,30.0,both,iSUvjnognEEL,Agentic AI Developer Certification Project: A RAG-based AI assistant for Tensor Publication Explorer,9,16,0.5625,20,31,0.6452,1.2077,both,both
https://github.com/KesavGopan10/Module-1-Project,15.0,11.0,73.3,2025-06-17 20:58:50,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,49.0,60.5,2025-06-17 20:06:37,21.0,25.0,84.0,28.0,46.0,60.9,0.0,10.0,0.0,both,ICfIfIRJ7hYj,Gemini RAG Assistant: Intelligent Document Q&A System,13,16,0.8125,24,31,0.7742,1.5867,both,both
https://github.com/MANU-de/RAG-CHATBOT,15.0,12.0,80.0,2025-06-17 20:53:57,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,59.0,72.8,2025-06-17 19:58:03,20.0,25.0,80.0,36.0,46.0,78.3,3.0,10.0,30.0,both,KwKSDEOcAXrX,RAG (Retrieval Augmented Generation) Chatbot,12,16,0.75,10,31,0.3226,1.0726,both,both
https://github.com/MAQuesada/langgraph_documentation_RAG,15.0,12.0,80.0,2025-06-17 21:08:57,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,73.0,85.9,2025-06-17 20:38:38,23.0,27.0,85.2,44.0,48.0,91.7,6.0,10.0,60.0,both,H2rbE1JDof4y,"Stop Searching, Start Asking: LangGraph Documentation at Your Fingertips 🤖🚀",14,16,0.875,23,31,0.7419,1.6169,both,both
https://github.com/Moniica990/Research_assistant_RAG_AI,15.0,12.0,80.0,2025-06-17 21:05:14,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,44.0,54.3,2025-06-17 20:21:50,18.0,25.0,72.0,23.0,46.0,50.0,3.0,10.0,30.0,both,Az72dkvWhXdL,Research Assistant RAG,1,16,0.0625,4,31,0.129,0.1915,both,both
https://github.com/Murasajo/Recipe-Generator-App,15.0,11.0,73.3,2025-06-17 21:01:09,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,45.0,52.9,2025-06-17 20:12:20,18.0,27.0,66.7,25.0,48.0,52.1,2.0,10.0,20.0,both,yk9REEuNwN8E,Recipe Generator App(RAG-based Assistant),6,16,0.375,22,31,0.7097,1.0847,both,both
https://github.com/Myrahrs/Foundations-of-Agentic-AI,15.0,9.0,60.0,2025-06-17 21:02:04,8.0,10.0,80.0,1.0,4.0,25.0,0.0,1.0,0.0,81.0,48.0,59.3,2025-06-17 20:14:34,20.0,25.0,80.0,27.0,46.0,58.7,1.0,10.0,10.0,both,zWw6CocJH4jp,Canvas LMS Chatbot – Project 1: Foundations of Agentic AI,11,16,0.6875,18,31,0.5806,1.2681,both,both
https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering,15.0,12.0,80.0,2025-06-17 21:02:35,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 20:15:27,18.0,25.0,72.0,30.0,46.0,65.2,2.0,10.0,20.0,both,h5ezVP2PhTun,RAG based Chatbot Specializing in U.S. History,12,16,0.75,21,31,0.6774,1.4274,both,both
https://github.com/Popsonn/ready_tensor-rag_project_wk1,15.0,12.0,80.0,2025-06-17 21:00:46,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,67.0,82.7,2025-06-17 20:11:44,25.0,25.0,100.0,38.0,46.0,82.6,4.0,10.0,40.0,both,TwnmLnyzHBmm,BiochemRAG: A Retrieval-Augmented Generation System for Domain-Specific Biochemistry Topic,11,16,0.6875,18,31,0.5806,1.2681,both,both
https://github.com/SGFIRE/ready-tensor-certification,15.0,12.0,80.0,2025-06-17 20:59:04,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,60.0,74.1,2025-06-17 20:06:59,22.0,25.0,88.0,35.0,46.0,76.1,3.0,10.0,30.0,both,sgi0REs2wi2J,Ready Tensor RAG Assistant,13,16,0.8125,23,31,0.7419,1.5544,both,both
https://github.com/Say2hub/RAG-Assistant,15.0,11.0,73.3,2025-06-17 20:54:39,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,54.0,11.0,20.4,2025-06-17 19:58:52,5.0,21.0,23.8,6.0,27.0,22.2,0.0,6.0,0.0,both,kRxLwW6vxsDn,"RAG Assistant using FAISS, Langchain and Gradio",9,16,0.5625,12,31,0.3871,0.9496,both,both
https://github.com/This-is-just-a-test-ben/rag_psych_helper,15.0,12.0,80.0,2025-06-17 21:10:44,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,55.0,67.9,2025-06-17 20:43:02,21.0,25.0,84.0,32.0,46.0,69.6,2.0,10.0,20.0,both,4hY5oGBmvCz6,Psych RAG,4,16,0.25,3,31,0.0968,0.3468,both,both
https://github.com/Tolulopeelijah/studybuddy-rag,14.0,12.0,85.7,2025-06-17 21:04:04,9.0,9.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,83.0,62.0,74.7,2025-06-17 20:17:45,23.0,26.0,88.5,36.0,47.0,76.6,3.0,10.0,30.0,both,4wqYEiwbmMF9,A RAG system for smart educational assessment from student course materials,14,16,0.875,12,31,0.3871,1.2621,both,both
