project,total_criteria,met_criteria,percentage,timestamp,essential_met,essential_total,essential_percentage,professional_met,professional_total,professional_percentage,elite_met,elite_total,elite_percentage
https://github.com/kuxall/agentic-ai,81,42,51.9,2025-06-17 19:55:36,16,25,64.0,25,46,54.3,1,10,10.0
https://github.com/daishir0/rag-document-assistant/,81,62,76.5,2025-06-17 19:55:53,25,25,100.0,35,46,76.1,2,10,20.0
https://github.com/AmmarAhmedl200961/simple-rag,81,50,61.7,2025-06-17 19:56:12,22,25,88.0,28,46,60.9,0,10,0.0
https://github.com/Blaqadonis/heritageai,81,60,74.1,2025-06-17 19:56:35,23,25,92.0,34,46,73.9,3,10,30.0
https://github.com/JbellMD/RT-RAG,81,78,96.3,2025-06-17 19:56:57,25,25,100.0,45,46,97.8,8,10,80.0
https://github.com/MANU-de/RAG-CHATBOT,81,59,72.8,2025-06-17 19:58:03,20,25,80.0,36,46,78.3,3,10,30.0
https://github.com/Fatimat01/consumer-complaint-chatbot,85,59,69.4,2025-06-17 19:58:29,22,27,81.5,35,48,72.9,2,10,20.0
https://github.com/stephanie0324/KnowBot,81,63,77.8,2025-06-17 19:58:46,24,25,96.0,35,46,76.1,4,10,40.0
https://github.com/Say2hub/RAG-Assistant,54,11,20.4,2025-06-17 19:58:52,5,21,23.8,6,27,22.2,0,6,0.0
https://github.com/kostas696/sustainarag,81,61,75.3,2025-06-17 20:02:19,23,25,92.0,36,46,78.3,2,10,20.0
https://github.com/ezedinff/AAIDC,81,49,60.5,2025-06-17 20:05:13,15,25,60.0,30,46,65.2,4,10,40.0
https://github.com/phanminhtai23/VietnamWarQA-RAG,81,60,74.1,2025-06-17 20:05:33,23,25,92.0,35,46,76.1,2,10,20.0
https://github.com/abdullah-k18/interview-status-chatbot,81,55,67.9,2025-06-17 20:05:49,23,25,92.0,32,46,69.6,0,10,0.0
https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,81,59,72.8,2025-06-17 20:06:10,25,25,100.0,31,46,67.4,3,10,30.0
https://github.com/KesavGopan10/Module-1-Project,81,49,60.5,2025-06-17 20:06:37,21,25,84.0,28,46,60.9,0,10,0.0
https://github.com/SGFIRE/ready-tensor-certification,81,60,74.1,2025-06-17 20:06:59,22,25,88.0,35,46,76.1,3,10,30.0
https://github.com/aminajavaid30/ask_the_scholar,81,62,76.5,2025-06-17 20:07:21,25,25,100.0,34,46,73.9,3,10,30.0
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,81,56,69.1,2025-06-17 20:07:41,21,25,84.0,34,46,73.9,1,10,10.0
https://github.com/AndreyGermanov/langchain_qwen_chat_cli,81,61,75.3,2025-06-17 20:07:59,24,25,96.0,34,46,73.9,3,10,30.0
https://github.com/daniau23/research_assistant,85,56,65.9,2025-06-17 20:08:21,24,27,88.9,31,48,64.6,1,10,10.0
https://github.com/Chizzy0428/RAG-Assistant-Project,81,50,61.7,2025-06-17 20:11:26,22,25,88.0,28,46,60.9,0,10,0.0
https://github.com/Popsonn/ready_tensor-rag_project_wk1,81,67,82.7,2025-06-17 20:11:44,25,25,100.0,38,46,82.6,4,10,40.0
https://github.com/sri1991/paperpulse,81,53,65.4,2025-06-17 20:12:01,22,25,88.0,30,46,65.2,1,10,10.0
https://github.com/Murasajo/Recipe-Generator-App,85,45,52.9,2025-06-17 20:12:20,18,27,66.7,25,48,52.1,2,10,20.0
https://github.com/Zeeshier/Retrieval_Augmented_Generation,85,32,37.6,2025-06-17 20:12:37,13,27,48.1,19,48,39.6,0,10,0.0
https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,81,57,70.4,2025-06-17 20:12:57,24,25,96.0,31,46,67.4,2,10,20.0
https://github.com/mgoltzsche/knowledgebot,64,52,81.2,2025-06-17 20:13:08,20,22,90.9,28,34,82.4,4,8,50.0
https://github.com/Dprof-in-tech/igbo_culture_RAG.py,81,58,71.6,2025-06-17 20:14:17,23,25,92.0,33,46,71.7,2,10,20.0
https://github.com/Myrahrs/Foundations-of-Agentic-AI,81,48,59.3,2025-06-17 20:14:34,20,25,80.0,27,46,58.7,1,10,10.0
https://github.com/Chukwuebuka-2003/rag_agentarticle,81,42,51.9,2025-06-17 20:14:59,18,25,72.0,24,46,52.2,0,10,0.0
https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering,81,50,61.7,2025-06-17 20:15:27,18,25,72.0,30,46,65.2,2,10,20.0
https://github.com/molero3111/rag-assistant-api,85,77,90.6,2025-06-17 20:16:04,27,27,100.0,42,48,87.5,8,10,80.0
https://github.com/ymd65536/slack_bigquery_vector/,81,53,65.4,2025-06-17 20:16:23,23,25,92.0,28,46,60.9,2,10,20.0
https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,81,52,64.2,2025-06-17 20:16:40,20,25,80.0,32,46,69.6,0,10,0.0
https://github.com/AhmadTigress/Rag_System,81,44,54.3,2025-06-17 20:17:02,18,25,72.0,26,46,56.5,0,10,0.0
https://github.com/madhans476/traffic_rules_assistant/,81,63,77.8,2025-06-17 20:17:27,23,25,92.0,36,46,78.3,4,10,40.0
https://github.com/Tolulopeelijah/studybuddy-rag,83,62,74.7,2025-06-17 20:17:45,23,26,88.5,36,47,76.6,3,10,30.0
https://github.com/hakangulcu/ready-tensor-rag-assistant,81,58,71.6,2025-06-17 20:20:10,24,25,96.0,34,46,73.9,0,10,0.0
https://github.com/Joshua-Abok/rag_apk,81,57,70.4,2025-06-17 20:20:29,22,25,88.0,32,46,69.6,3,10,30.0
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2,85,64,75.3,2025-06-17 20:20:50,25,27,92.6,35,48,72.9,4,10,40.0
https://github.com/dishangrgbhd/PDF-Chat-Assistant,81,58,71.6,2025-06-17 20:21:35,24,25,96.0,34,46,73.9,0,10,0.0
https://github.com/Moniica990/Research_assistant_RAG_AI,81,44,54.3,2025-06-17 20:21:50,18,25,72.0,23,46,50.0,3,10,30.0
