project,total_criteria_rag,met_criteria_rag,percentage_rag,timestamp_rag,essential_met_rag,essential_total_rag,essential_percentage_rag,professional_met_rag,professional_total_rag,professional_percentage_rag,elite_met_rag,elite_total_rag,elite_percentage_rag,total_criteria_general,met_criteria_general,percentage_general,timestamp_general,essential_met_general,essential_total_general,essential_percentage_general,professional_met_general,professional_total_general,professional_percentage_general,elite_met_general,elite_total_general,elite_percentage_general,_merge
https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,15.0,12.0,80.0,2025-06-17 21:01:37,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:12:57,24.0,25.0,96.0,31.0,46.0,67.4,2.0,10.0,20.0,both
https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,15.0,12.0,80.0,2025-06-17 20:58:37,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,59.0,72.8,2025-06-17 20:06:10,25.0,25.0,100.0,31.0,46.0,67.4,3.0,10.0,30.0,both
https://github.com/AhmadTigress/Rag_System,15.0,12.0,80.0,2025-06-17 21:03:35,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,44.0,54.3,2025-06-17 20:17:02,18.0,25.0,72.0,26.0,46.0,56.5,0.0,10.0,0.0,both
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15.0,10.0,66.7,2025-06-17 21:07:09,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:28:53,20.0,25.0,80.0,35.0,46.0,76.1,2.0,10.0,20.0,both
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15.0,10.0,66.7,2025-06-17 21:07:09,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:29:13,20.0,25.0,80.0,35.0,46.0,76.1,2.0,10.0,20.0,both
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2,15.0,11.0,73.3,2025-06-17 21:04:50,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,,,,,,,,,,,,,,left_only
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2.git,,,,,,,,,,,,,,85.0,64.0,75.3,2025-06-17 20:20:50,25.0,27.0,92.6,35.0,48.0,72.9,4.0,10.0,40.0,right_only
https://github.com/AmmarAhmedl200961/simple-rag,15.0,12.0,80.0,2025-06-17 20:52:14,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 19:56:12,22.0,25.0,88.0,28.0,46.0,60.9,0.0,10.0,0.0,both
https://github.com/AndreyGermanov/langchain_qwen_chat_cli,15.0,10.0,66.7,2025-06-17 20:59:45,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,61.0,75.3,2025-06-17 20:07:59,24.0,25.0,96.0,34.0,46.0,73.9,3.0,10.0,30.0,both
https://github.com/Blaqadonis/heritageai,15.0,11.0,73.3,2025-06-17 20:52:48,8.0,10.0,80.0,2.0,4.0,50.0,1.0,1.0,100.0,81.0,60.0,74.1,2025-06-17 19:56:35,23.0,25.0,92.0,34.0,46.0,73.9,3.0,10.0,30.0,both
https://github.com/Chizzy0428/RAG-Assistant-Project,15.0,11.0,73.3,2025-06-17 21:00:29,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 20:11:26,22.0,25.0,88.0,28.0,46.0,60.9,0.0,10.0,0.0,both
https://github.com/Chukwuebuka-2003/rag_agentarticle,15.0,6.0,40.0,2025-06-17 21:02:20,5.0,10.0,50.0,1.0,4.0,25.0,0.0,1.0,0.0,81.0,42.0,51.9,2025-06-17 20:14:59,18.0,25.0,72.0,24.0,46.0,52.2,0.0,10.0,0.0,both
https://github.com/Dprof-in-tech/igbo_culture_RAG.py,15.0,10.0,66.7,2025-06-17 21:01:54,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,58.0,71.6,2025-06-17 20:14:17,23.0,25.0,92.0,33.0,46.0,71.7,2.0,10.0,20.0,both
https://github.com/Eng-Elias/notebook_rag,15.0,12.0,80.0,2025-06-17 21:07:24,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,61.0,75.3,2025-06-17 20:29:33,25.0,25.0,100.0,33.0,46.0,71.7,3.0,10.0,30.0,both
https://github.com/Fatimat01/consumer-complaint-chatbot,15.0,12.0,80.0,2025-06-17 20:54:12,8.0,10.0,80.0,4.0,4.0,100.0,0.0,1.0,0.0,85.0,59.0,69.4,2025-06-17 19:58:29,22.0,27.0,81.5,35.0,48.0,72.9,2.0,10.0,20.0,both
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,15.0,12.0,80.0,2025-06-17 20:59:34,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,56.0,69.1,2025-06-17 20:07:41,21.0,25.0,84.0,34.0,46.0,73.9,1.0,10.0,10.0,both
https://github.com/JbellMD/RT-RAG,15.0,11.0,73.3,2025-06-17 20:53:03,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,78.0,96.3,2025-06-17 19:56:57,25.0,25.0,100.0,45.0,46.0,97.8,8.0,10.0,80.0,both
https://github.com/Joshua-Abok/rag_apk,15.0,10.0,66.7,2025-06-17 21:04:30,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:20:29,22.0,25.0,88.0,32.0,46.0,69.6,3.0,10.0,30.0,both
https://github.com/KesavGopan10/Module-1-Project,15.0,11.0,73.3,2025-06-17 20:58:50,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,49.0,60.5,2025-06-17 20:06:37,21.0,25.0,84.0,28.0,46.0,60.9,0.0,10.0,0.0,both
https://github.com/MANU-de/RAG-CHATBOT,15.0,12.0,80.0,2025-06-17 20:53:57,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,59.0,72.8,2025-06-17 19:58:03,20.0,25.0,80.0,36.0,46.0,78.3,3.0,10.0,30.0,both
https://github.com/MAQuesada/langgraph_documentation_RAG,15.0,12.0,80.0,2025-06-17 21:08:57,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,73.0,85.9,2025-06-17 20:38:38,23.0,27.0,85.2,44.0,48.0,91.7,6.0,10.0,60.0,both
https://github.com/Moniica990/Research_assistant_RAG_AI,15.0,12.0,80.0,2025-06-17 21:05:14,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,44.0,54.3,2025-06-17 20:21:50,18.0,25.0,72.0,23.0,46.0,50.0,3.0,10.0,30.0,both
https://github.com/Murasajo/Recipe-Generator-App,15.0,11.0,73.3,2025-06-17 21:01:09,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,45.0,52.9,2025-06-17 20:12:20,18.0,27.0,66.7,25.0,48.0,52.1,2.0,10.0,20.0,both
https://github.com/Myrahrs/Foundations-of-Agentic-AI,15.0,9.0,60.0,2025-06-17 21:02:04,8.0,10.0,80.0,1.0,4.0,25.0,0.0,1.0,0.0,81.0,48.0,59.3,2025-06-17 20:14:34,20.0,25.0,80.0,27.0,46.0,58.7,1.0,10.0,10.0,both
https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering,15.0,12.0,80.0,2025-06-17 21:02:35,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,50.0,61.7,2025-06-17 20:15:27,18.0,25.0,72.0,30.0,46.0,65.2,2.0,10.0,20.0,both
https://github.com/Popsonn/ready_tensor-rag_project_wk1,15.0,12.0,80.0,2025-06-17 21:00:46,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,67.0,82.7,2025-06-17 20:11:44,25.0,25.0,100.0,38.0,46.0,82.6,4.0,10.0,40.0,both
https://github.com/SGFIRE/ready-tensor-certification,15.0,12.0,80.0,2025-06-17 20:59:04,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,60.0,74.1,2025-06-17 20:06:59,22.0,25.0,88.0,35.0,46.0,76.1,3.0,10.0,30.0,both
https://github.com/Say2hub/RAG-Assistant,15.0,11.0,73.3,2025-06-17 20:54:39,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,,,,,,,,,,,,,,left_only
https://github.com/Say2hub/RAG-Assistant/blob/main/main.py,,,,,,,,,,,,,,54.0,11.0,20.4,2025-06-17 19:58:52,5.0,21.0,23.8,6.0,27.0,22.2,0.0,6.0,0.0,right_only
