publication_external_id,publication_title,url,rag_score,rag_total,rag_percentage,general_score,general_total,general_percentage,combined_percentage
00LAGp5OuigT,RAG-powered-assistant,https://github.com/AishwaryaChandel27/RAG-powered-assistant,9,16,0.5625,23,31,0.7419,1.3044
1EyrHhLul5KU,Local-RAG: A Question-Answering Assistant with Ollama and LangChain,https://github.com/gourishankar27/local_RAG_agent_system,14,16,0.875,27,31,0.871,1.746
1YrOrfkDQ3bN,BUILDING A RAG SYSTEM WITH OPEN-SOURCE,https://github.com/AhmadTigress/Rag_System,11,16,0.6875,20,31,0.6452,1.3327
1tzOpsOtVNkC,E-commerce FAQ Assistant using RAG,https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,10,16,0.625,14,31,0.4516,1.0766
3ckLnaDhLwiY,Ready Tensor Publication Explorer: A RAG-based research assistant,https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,13,16,0.8125,10,31,0.3226,1.1351
4fBZ6PYkO2mZ,"Heritage - an AI query system for The Nigerian Peoples, their Pre-historic Arts, & Cultures.",https://github.com/Blaqadonis/heritageai,12,16,0.75,26,31,0.8387,1.5887
4fiaz4cCKoI0,AAIDC RAG,https://github.com/simsimi2143/Rag-nvidia-nim/tree/main,10,16,0.625,15,31,0.4839,1.1089
4hY5oGBmvCz6,Psych RAG,https://github.com/This-is-just-a-test-ben/rag_psych_helper,4,16,0.25,3,31,0.0968,0.3468
4wqYEiwbmMF9,A RAG system for smart educational assessment from student course materials,https://github.com/Tolulopeelijah/studybuddy-rag,14,16,0.875,12,31,0.3871,1.2621
52Zo0G7WuWGZ,AAIDC2025- Project 1- RAG AI Assistant ,,1,16,0.0625,-8,31,-0.2581,-0.1956
52lhbZXXHk9f,Local RAG Assistant for Ready Tensor Publications,https://github.com/hakangulcu/ready-tensor-rag-assistant/tree/main,8,16,0.5,19,31,0.6129,1.1129
555qYxNAI5Lv,RAG-based agent API,https://github.com/molero3111/rag-assistant-api,5,16,0.3125,6,31,0.1935,0.506
7nDcd8TkL4bj,RAG System for Abortion Awareness Education,https://github.com/ezedinff/AAIDC/tree/main/project-1,11,16,0.6875,14,31,0.4516,1.1391
8T4zjTgKfHzm,AI-Powered Assistant for Exploring Financial Consumer Complaints,https://github.com/Fatimat01/consumer-complaint-chatbot,11,16,0.6875,23,31,0.7419,1.4294
8t2SMEsGZctP,RAG Assistant - AAIDC,https://github.com/kartavya4874/RAG-Assistant---AAIDC,15,16,0.9375,20,31,0.6452,1.5827
