project,total_criteria,met_criteria,percentage,timestamp,essential_met,essential_total,essential_percentage,professional_met,professional_total,professional_percentage,elite_met,elite_total,elite_percentage
https://github.com/kuxall/agentic-ai,15,12,80.0,2025-06-17 20:51:49,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/daishir0/rag-document-assistant/,15,11,73.3,2025-06-17 20:52:02,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/AmmarAhmedl200961/simple-rag,15,12,80.0,2025-06-17 20:52:14,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/Blaqadonis/heritageai,15,11,73.3,2025-06-17 20:52:48,8,10,80.0,2,4,50.0,1,1,100.0
https://github.com/JbellMD/RT-RAG,15,11,73.3,2025-06-17 20:53:03,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/MANU-de/RAG-CHATBOT,15,12,80.0,2025-06-17 20:53:57,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/Fatimat01/consumer-complaint-chatbot,15,12,80.0,2025-06-17 20:54:12,8,10,80.0,4,4,100.0,0,1,0.0
https://github.com/stephanie0324/KnowBot,15,12,80.0,2025-06-17 20:54:26,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/Say2hub/RAG-Assistant,15,11,73.3,2025-06-17 20:54:39,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/kostas696/sustainarag,15,13,86.7,2025-06-17 20:57:26,9,10,90.0,3,4,75.0,1,1,100.0
https://github.com/ezedinff/AAIDC,15,13,86.7,2025-06-17 20:57:44,9,10,90.0,4,4,100.0,0,1,0.0
https://github.com/phanminhtai23/VietnamWarQA-RAG,15,14,93.3,2025-06-17 20:57:56,10,10,100.0,4,4,100.0,0,1,0.0
https://github.com/abdullah-k18/interview-status-chatbot,15,10,66.7,2025-06-17 20:58:18,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,15,12,80.0,2025-06-17 20:58:37,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/KesavGopan10/Module-1-Project,15,11,73.3,2025-06-17 20:58:50,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/SGFIRE/ready-tensor-certification,15,12,80.0,2025-06-17 20:59:04,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/aminajavaid30/ask_the_scholar,15,12,80.0,2025-06-17 20:59:20,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,15,12,80.0,2025-06-17 20:59:34,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/AndreyGermanov/langchain_qwen_chat_cli,15,10,66.7,2025-06-17 20:59:45,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/daniau23/research_assistant,15,12,80.0,2025-06-17 21:00:02,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/Chizzy0428/RAG-Assistant-Project,15,11,73.3,2025-06-17 21:00:29,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/Popsonn/ready_tensor-rag_project_wk1,15,12,80.0,2025-06-17 21:00:46,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/sri1991/paperpulse,15,13,86.7,2025-06-17 21:00:57,10,10,100.0,3,4,75.0,0,1,0.0
https://github.com/Murasajo/Recipe-Generator-App,15,11,73.3,2025-06-17 21:01:09,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/Zeeshier/Retrieval_Augmented_Generation,15,11,73.3,2025-06-17 21:01:21,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,15,12,80.0,2025-06-17 21:01:37,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/mgoltzsche/knowledgebot,1,1,100.0,2025-06-17 21:01:40,1,1,100.0,0,0,0,0,0,0
https://github.com/Dprof-in-tech/igbo_culture_RAG.py,15,10,66.7,2025-06-17 21:01:54,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/Myrahrs/Foundations-of-Agentic-AI,15,9,60.0,2025-06-17 21:02:04,8,10,80.0,1,4,25.0,0,1,0.0
https://github.com/Chukwuebuka-2003/rag_agentarticle,15,6,40.0,2025-06-17 21:02:20,5,10,50.0,1,4,25.0,0,1,0.0
https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering,15,12,80.0,2025-06-17 21:02:35,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/molero3111/rag-assistant-api,15,11,73.3,2025-06-17 21:02:53,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/ymd65536/slack_bigquery_vector/,15,11,73.3,2025-06-17 21:03:07,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,15,10,66.7,2025-06-17 21:03:23,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/AhmadTigress/Rag_System,15,12,80.0,2025-06-17 21:03:35,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/madhans476/traffic_rules_assistant/,15,11,73.3,2025-06-17 21:03:50,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/Tolulopeelijah/studybuddy-rag,14,12,85.7,2025-06-17 21:04:04,9,9,100.0,3,4,75.0,0,1,0.0
https://github.com/hakangulcu/ready-tensor-rag-assistant,15,11,73.3,2025-06-17 21:04:17,10,10,100.0,1,4,25.0,0,1,0.0
https://github.com/Joshua-Abok/rag_apk,15,10,66.7,2025-06-17 21:04:30,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2,15,11,73.3,2025-06-17 21:04:50,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/dishangrgbhd/PDF-Chat-Assistant,15,11,73.3,2025-06-17 21:05:03,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/Moniica990/Research_assistant_RAG_AI,15,12,80.0,2025-06-17 21:05:14,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/kartavya4874/RAG-Assistant---AAIDC,15,13,86.7,2025-06-17 21:05:29,10,10,100.0,3,4,75.0,0,1,0.0
https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot,15,12,80.0,2025-06-17 21:05:43,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/balajik-g/RAG_Assistant_M_1.0,15,12,80.0,2025-06-17 21:05:58,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/mukundan1/docqa,15,12,80.0,2025-06-17 21:06:25,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/gourishankar27/local_RAG_agent_system,15,11,73.3,2025-06-17 21:06:38,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/poacosta/the-librarian,15,10,66.7,2025-06-17 21:06:58,7,10,70.0,3,4,75.0,0,1,0.0
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15,10,66.7,2025-06-17 21:07:09,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/Eng-Elias/notebook_rag,15,12,80.0,2025-06-17 21:07:24,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT,15,10,66.7,2025-06-17 21:07:41,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/archanags001/streamlit-ai-guide,15,12,80.0,2025-06-17 21:07:54,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/zshafique25/RAG_Assisstant,15,14,93.3,2025-06-17 21:08:11,10,10,100.0,4,4,100.0,0,1,0.0
https://github.com/rishi255/askthedocs,15,12,80.0,2025-06-17 21:08:45,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/MAQuesada/langgraph_documentation_RAG,15,12,80.0,2025-06-17 21:08:57,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/simsimi2143/Rag-nvidia-nim,15,11,73.3,2025-06-17 21:09:09,9,10,90.0,2,4,50.0,0,1,0.0
https://github.com/iyinusa/rag-ai-assistant,15,12,80.0,2025-06-17 21:09:22,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/sahil095/RAG-based-financial-research-assistant,15,11,73.3,2025-06-17 21:10:05,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/polymathLTE/agentic-ai,15,10,66.7,2025-06-17 21:10:16,8,10,80.0,2,4,50.0,0,1,0.0
https://github.com/caliskate/modular-rag-assistant/,15,12,80.0,2025-06-17 21:10:31,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/This-is-just-a-test-ben/rag_psych_helper,15,12,80.0,2025-06-17 21:10:44,9,10,90.0,3,4,75.0,0,1,0.0
https://github.com/aryanmahawar205/conversational-rag-chatbot,15,12,80.0,2025-06-17 21:10:57,8,10,80.0,4,4,100.0,0,1,0.0
https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science,14,9,64.3,2025-06-17 21:11:09,8,9,88.9,1,4,25.0,0,1,0.0
https://github.com/vanip3/rag-groq-app-,15,11,73.3,2025-06-17 21:11:20,8,10,80.0,3,4,75.0,0,1,0.0
https://github.com/krys2fa/rt-rag-chatbot-assistant,15,11,73.3,2025-06-17 21:11:33,8,10,80.0,3,4,75.0,0,1,0.0
