project,total_criteria_rag,met_criteria_rag,percentage_rag,timestamp_rag,essential_met_rag,essential_total_rag,essential_percentage_rag,professional_met_rag,professional_total_rag,professional_percentage_rag,elite_met_rag,elite_total_rag,elite_percentage_rag,total_criteria_general,met_criteria_general,percentage_general,timestamp_general,essential_met_general,essential_total_general,essential_percentage_general,professional_met_general,professional_total_general,professional_percentage_general,elite_met_general,elite_total_general,elite_percentage_general
https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,15,12,80.0,2025-06-17 21:01:37,9,10,90.0,3,4,75.0,0,1,0.0,81,57,70.4,2025-06-17 20:12:57,24,25,96.0,31,46,67.4,2,10,20.0
https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,15,12,80.0,2025-06-17 20:58:37,9,10,90.0,3,4,75.0,0,1,0.0,81,59,72.8,2025-06-17 20:06:10,25,25,100.0,31,46,67.4,3,10,30.0
https://github.com/AhmadTigress/Rag_System,15,12,80.0,2025-06-17 21:03:35,9,10,90.0,3,4,75.0,0,1,0.0,81,44,54.3,2025-06-17 20:17:02,18,25,72.0,26,46,56.5,0,10,0.0
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15,10,66.7,2025-06-17 21:07:09,8,10,80.0,2,4,50.0,0,1,0.0,81,57,70.4,2025-06-17 20:28:53,20,25,80.0,35,46,76.1,2,10,20.0
https://github.com/AishwaryaChandel27/RAG-powered-assistant,15,10,66.7,2025-06-17 21:07:09,8,10,80.0,2,4,50.0,0,1,0.0,81,57,70.4,2025-06-17 20:29:13,20,25,80.0,35,46,76.1,2,10,20.0
https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2,15,11,73.3,2025-06-17 21:04:50,9,10,90.0,2,4,50.0,0,1,0.0,85,64,75.3,2025-06-17 20:20:50,25,27,92.6,35,48,72.9,4,10,40.0
https://github.com/AmmarAhmedl200961/simple-rag,15,12,80.0,2025-06-17 20:52:14,9,10,90.0,3,4,75.0,0,1,0.0,81,50,61.7,2025-06-17 19:56:12,22,25,88.0,28,46,60.9,0,10,0.0
https://github.com/AndreyGermanov/langchain_qwen_chat_cli,15,10,66.7,2025-06-17 20:59:45,8,10,80.0,2,4,50.0,0,1,0.0,81,61,75.3,2025-06-17 20:07:59,24,25,96.0,34,46,73.9,3,10,30.0
https://github.com/Blaqadonis/heritageai,15,11,73.3,2025-06-17 20:52:48,8,10,80.0,2,4,50.0,1,1,100.0,81,60,74.1,2025-06-17 19:56:35,23,25,92.0,34,46,73.9,3,10,30.0
https://github.com/Chizzy0428/RAG-Assistant-Project,15,11,73.3,2025-06-17 21:00:29,9,10,90.0,2,4,50.0,0,1,0.0,81,50,61.7,2025-06-17 20:11:26,22,25,88.0,28,46,60.9,0,10,0.0
https://github.com/Chukwuebuka-2003/rag_agentarticle,15,6,40.0,2025-06-17 21:02:20,5,10,50.0,1,4,25.0,0,1,0.0,81,42,51.9,2025-06-17 20:14:59,18,25,72.0,24,46,52.2,0,10,0.0
https://github.com/Dprof-in-tech/igbo_culture_RAG.py,15,10,66.7,2025-06-17 21:01:54,8,10,80.0,2,4,50.0,0,1,0.0,81,58,71.6,2025-06-17 20:14:17,23,25,92.0,33,46,71.7,2,10,20.0
https://github.com/Eng-Elias/notebook_rag,15,12,80.0,2025-06-17 21:07:24,9,10,90.0,3,4,75.0,0,1,0.0,81,61,75.3,2025-06-17 20:29:33,25,25,100.0,33,46,71.7,3,10,30.0
https://github.com/Fatimat01/consumer-complaint-chatbot,15,12,80.0,2025-06-17 20:54:12,8,10,80.0,4,4,100.0,0,1,0.0,85,59,69.4,2025-06-17 19:58:29,22,27,81.5,35,48,72.9,2,10,20.0
https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,15,12,80.0,2025-06-17 20:59:34,9,10,90.0,3,4,75.0,0,1,0.0,81,56,69.1,2025-06-17 20:07:41,21,25,84.0,34,46,73.9,1,10,10.0
https://github.com/JbellMD/RT-RAG,15,11,73.3,2025-06-17 20:53:03,9,10,90.0,2,4,50.0,0,1,0.0,81,78,96.3,2025-06-17 19:56:57,25,25,100.0,45,46,97.8,8,10,80.0
https://github.com/Joshua-Abok/rag_apk,15,10,66.7,2025-06-17 21:04:30,8,10,80.0,2,4,50.0,0,1,0.0,81,57,70.4,2025-06-17 20:20:29,22,25,88.0,32,46,69.6,3,10,30.0
https://github.com/KesavGopan10/Module-1-Project,15,11,73.3,2025-06-17 20:58:50,8,10,80.0,3,4,75.0,0,1,0.0,81,49,60.5,2025-06-17 20:06:37,21,25,84.0,28,46,60.9,0,10,0.0
https://github.com/MANU-de/RAG-CHATBOT,15,12,80.0,2025-06-17 20:53:57,9,10,90.0,3,4,75.0,0,1,0.0,81,59,72.8,2025-06-17 19:58:03,20,25,80.0,36,46,78.3,3,10,30.0
https://github.com/MAQuesada/langgraph_documentation_RAG,15,12,80.0,2025-06-17 21:08:57,9,10,90.0,3,4,75.0,0,1,0.0,85,73,85.9,2025-06-17 20:38:38,23,27,85.2,44,48,91.7,6,10,60.0
https://github.com/Moniica990/Research_assistant_RAG_AI,15,12,80.0,2025-06-17 21:05:14,9,10,90.0,3,4,75.0,0,1,0.0,81,44,54.3,2025-06-17 20:21:50,18,25,72.0,23,46,50.0,3,10,30.0
https://github.com/Murasajo/Recipe-Generator-App,15,11,73.3,2025-06-17 21:01:09,8,10,80.0,3,4,75.0,0,1,0.0,85,45,52.9,2025-06-17 20:12:20,18,27,66.7,25,48,52.1,2,10,20.0
https://github.com/Myrahrs/Foundations-of-Agentic-AI,15,9,60.0,2025-06-17 21:02:04,8,10,80.0,1,4,25.0,0,1,0.0,81,48,59.3,2025-06-17 20:14:34,20,25,80.0,27,46,58.7,1,10,10.0
https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering,15,12,80.0,2025-06-17 21:02:35,9,10,90.0,3,4,75.0,0,1,0.0,81,50,61.7,2025-06-17 20:15:27,18,25,72.0,30,46,65.2,2,10,20.0
https://github.com/Popsonn/ready_tensor-rag_project_wk1,15,12,80.0,2025-06-17 21:00:46,9,10,90.0,3,4,75.0,0,1,0.0,81,67,82.7,2025-06-17 20:11:44,25,25,100.0,38,46,82.6,4,10,40.0
https://github.com/SGFIRE/ready-tensor-certification,15,12,80.0,2025-06-17 20:59:04,9,10,90.0,3,4,75.0,0,1,0.0,81,60,74.1,2025-06-17 20:06:59,22,25,88.0,35,46,76.1,3,10,30.0
https://github.com/Say2hub/RAG-Assistant,15,11,73.3,2025-06-17 20:54:39,9,10,90.0,2,4,50.0,0,1,0.0,54,11,20.4,2025-06-17 19:58:52,5,21,23.8,6,27,22.2,0,6,0.0
https://github.com/This-is-just-a-test-ben/rag_psych_helper,15,12,80.0,2025-06-17 21:10:44,9,10,90.0,3,4,75.0,0,1,0.0,81,55,67.9,2025-06-17 20:43:02,21,25,84.0,32,46,69.6,2,10,20.0
https://github.com/Tolulopeelijah/studybuddy-rag,14,12,85.7,2025-06-17 21:04:04,9,9,100.0,3,4,75.0,0,1,0.0,83,62,74.7,2025-06-17 20:17:45,23,26,88.5,36,47,76.6,3,10,30.0
https://github.com/Zeeshier/Retrieval_Augmented_Generation,15,11,73.3,2025-06-17 21:01:21,8,10,80.0,3,4,75.0,0,1,0.0,85,32,37.6,2025-06-17 20:12:37,13,27,48.1,19,48,39.6,0,10,0.0
https://github.com/abdullah-k18/interview-status-chatbot,15,10,66.7,2025-06-17 20:58:18,8,10,80.0,2,4,50.0,0,1,0.0,81,55,67.9,2025-06-17 20:05:49,23,25,92.0,32,46,69.6,0,10,0.0
https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT,15,10,66.7,2025-06-17 21:07:41,8,10,80.0,2,4,50.0,0,1,0.0,81,51,63.0,2025-06-17 20:30:03,18,25,72.0,33,46,71.7,0,10,0.0
https://github.com/aminajavaid30/ask_the_scholar,15,12,80.0,2025-06-17 20:59:20,9,10,90.0,3,4,75.0,0,1,0.0,81,62,76.5,2025-06-17 20:07:21,25,25,100.0,34,46,73.9,3,10,30.0
https://github.com/archanags001/streamlit-ai-guide,15,12,80.0,2025-06-17 21:07:54,9,10,90.0,3,4,75.0,0,1,0.0,81,57,70.4,2025-06-17 20:30:25,24,25,96.0,31,46,67.4,2,10,20.0
https://github.com/aryanmahawar205/conversational-rag-chatbot,15,12,80.0,2025-06-17 21:10:57,8,10,80.0,4,4,100.0,0,1,0.0,81,63,77.8,2025-06-17 20:43:25,24,25,96.0,35,46,76.1,4,10,40.0
https://github.com/balajik-g/RAG_Assistant_M_1.0,15,12,80.0,2025-06-17 21:05:58,9,10,90.0,3,4,75.0,0,1,0.0,81,41,50.6,2025-06-17 20:22:54,14,25,56.0,24,46,52.2,3,10,30.0
https://github.com/caliskate/modular-rag-assistant/,15,12,80.0,2025-06-17 21:10:31,9,10,90.0,3,4,75.0,0,1,0.0,81,62,76.5,2025-06-17 20:42:13,25,25,100.0,35,46,76.1,2,10,20.0
https://github.com/daishir0/rag-document-assistant/,15,11,73.3,2025-06-17 20:52:02,9,10,90.0,2,4,50.0,0,1,0.0,81,62,76.5,2025-06-17 19:55:53,25,25,100.0,35,46,76.1,2,10,20.0
https://github.com/daniau23/research_assistant,15,12,80.0,2025-06-17 21:00:02,9,10,90.0,3,4,75.0,0,1,0.0,85,56,65.9,2025-06-17 20:08:21,24,27,88.9,31,48,64.6,1,10,10.0
https://github.com/dishangrgbhd/PDF-Chat-Assistant,15,11,73.3,2025-06-17 21:05:03,8,10,80.0,3,4,75.0,0,1,0.0,81,58,71.6,2025-06-17 20:21:35,24,25,96.0,34,46,73.9,0,10,0.0
https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot,15,12,80.0,2025-06-17 21:05:43,9,10,90.0,3,4,75.0,0,1,0.0,81,37,45.7,2025-06-17 20:22:30,15,25,60.0,22,46,47.8,0,10,0.0
https://github.com/ezedinff/AAIDC,15,13,86.7,2025-06-17 20:57:44,9,10,90.0,4,4,100.0,0,1,0.0,81,49,60.5,2025-06-17 20:05:13,15,25,60.0,30,46,65.2,4,10,40.0
https://github.com/gourishankar27/local_RAG_agent_system,15,11,73.3,2025-06-17 21:06:38,9,10,90.0,2,4,50.0,0,1,0.0,85,53,62.4,2025-06-17 20:28:05,23,27,85.2,29,48,60.4,1,10,10.0
https://github.com/hakangulcu/ready-tensor-rag-assistant,15,11,73.3,2025-06-17 21:04:17,10,10,100.0,1,4,25.0,0,1,0.0,81,58,71.6,2025-06-17 20:20:10,24,25,96.0,34,46,73.9,0,10,0.0
https://github.com/iyinusa/rag-ai-assistant,15,12,80.0,2025-06-17 21:09:22,9,10,90.0,3,4,75.0,0,1,0.0,81,67,82.7,2025-06-17 20:39:45,25,25,100.0,39,46,84.8,3,10,30.0
https://github.com/kartavya4874/RAG-Assistant---AAIDC,15,13,86.7,2025-06-17 21:05:29,10,10,100.0,3,4,75.0,0,1,0.0,81,59,72.8,2025-06-17 20:22:09,20,25,80.0,35,46,76.1,4,10,40.0
